Area Affected,index,Year,Month,Event Date and Time,Restoration Date and Time,Duration,Utility/Power Pool,NERC Region,Type of Disturbance,Loss (megawatts),Number of Customers Affected
King,2,2012,1.0,2012-01-19 07:00:00,2012-01-20 15:00:00,"32 Hours,  0 Minutes",Puget Sound Energy,WECC,Severe Weather - Winter Storm,1600,426000
Pierce,2,2012,1.0,2012-01-19 07:00:00,2012-01-20 15:00:00,"32 Hours,  0 Minutes",Puget Sound Energy,WECC,Severe Weather - Winter Storm,1600,426000
Thurston,2,2012,1.0,2012-01-19 07:00:00,2012-01-20 15:00:00,"32 Hours,  0 Minutes",Puget Sound Energy,WECC,Severe Weather - Winter Storm,1600,426000
WA,22,2013,5.0,2013-05-09 13:21:00,2013-05-09 16:21:00,"3 Hours,  0 Minutes",WECC,WECC,Electrical System Separation (Islanding),Unknown,Unknown
King,72,2013,11.0,2013-11-02 00:00:00,2013-11-04 06:00:00,"54 Hours,  0 Minutes",Puget Sound Energy,WECC,Severe Weather - Heavy Winds,Unknown,105000
Whatcom,72,2013,11.0,2013-11-02 00:00:00,2013-11-04 06:00:00,"54 Hours,  0 Minutes",Puget Sound Energy,WECC,Severe Weather - Heavy Winds,Unknown,105000
Skagit,72,2013,11.0,2013-11-02 00:00:00,2013-11-04 06:00:00,"54 Hours,  0 Minutes",Puget Sound Energy,WECC,Severe Weather - Heavy Winds,Unknown,105000
King,124,2014,10.0,2014-10-25 18:00:00,2014-10-25 18:00:00,ongoing,Puget Sound Energy,WECC,Severe Weather - Wind,154,96000
Thurston,124,2014,10.0,2014-10-25 18:00:00,2014-10-25 18:00:00,ongoing,Puget Sound Energy,WECC,Severe Weather - Wind,154,96000
Kitsap,124,2014,10.0,2014-10-25 18:00:00,2014-10-25 18:00:00,ongoing,Puget Sound Energy,WECC,Severe Weather - Wind,154,96000
WA,126,2014,11.0,2014-11-11 18:00:00,2014-11-14 15:00:00,"69 Hours,  0 Minutes",Puget Sound Energy,WECC,Severe Weather - Wind,132,68000
King,134,2014,12.0,2014-12-11 17:00:00,2014-12-12 10:00:00,"17 Hours,  0 Minutes",Puget Sound Energy,WECC,Severe Weather- High Winds,116,264000
Thurston,134,2014,12.0,2014-12-11 17:00:00,2014-12-12 10:00:00,"17 Hours,  0 Minutes",Puget Sound Energy,WECC,Severe Weather- High Winds,116,264000
