event_row,timestamp,text,outage
0,2012-01-19 22:55:20,@Number12ForLife No power in Issaquah Highlands. I understand that most of Issaquah in the same situation.,1
0,2012-01-19 22:26:31,@KING5Seattle @KIRO7Seattle tiger mountain rd se is block all the way through with blocking trees and down power lines.,1
0,2012-01-19 22:24:36,@KING5Seattle @KIRO7Seattle SE may valley road is closed as of this moment. Tree n power lines down everywhere. .5 miles W of iss-hobart rd,1
0,2012-01-19 21:40:50,Just lost power. They power better be back on by 8....,1
0,2012-01-19 20:32:02,Update: Power Outages Affecting Renton's Benson Neighborhood http://bit.ly/ApSJyr  via http://outside.in/98038 ,1
0,2012-01-19 19:30:53,"Still no power, reminds me why we still love board games, breaking out monopoly and battleship",1
0,2012-01-19 18:22:23,@LilyJang No power in Issaquah for 2hrs now... Help!!,1
0,2012-01-19 18:15:45,No power and no water#fuckinicestorms,1
0,2012-01-19 17:11:15,@x86brandon power out now.  Suckage has fully started.,1
0,2012-01-19 17:02:47,"@KING5Seattle that's not good, no power for days? @psetalk #waice #wapower",1
0,2012-01-19 16:29:10,Power outage in Issaquah Highlands.,1
0,2012-01-19 04:29:26,Our power just went out.,1
0,2012-01-20 19:45:23,“@BruceTennen: Let's use up some of those Nat Gas supplies. $COG $RRC #Beatdown.” Seattle has no power. Burning Nat Gas for 2 days straight.,1
0,2012-01-20 19:34:10,“@kayladelrossi1: Im so over this weather...” and I want power..,1
0,2012-01-20 09:31:45,"PSE Says Approximately 1,800 Redmond Customers Without Power http://bit.ly/y8DRlB  via http://outside.in/98014 ",1
0,2012-01-20 07:14:10,Yay for power except no tv or Internet #damncomcast #fml,1
0,2012-01-20 06:54:46,"Long night wrapping up for us .., but not for folks w/o power. We just saw line crews out so hang in there.",1
0,2012-01-20 04:58:32,Woohoo! Power is back on!!!!!!,1
0,2012-01-20 04:18:25,"Shut down by ice storm, Valley power may not come back for days http://bit.ly/ym1GvD  via http://outside.in/98024 ",1
0,2012-01-20 04:06:42,Poll: Pacific NW do you have power? See See where service is active in WA. http://gopollgo.com/pacific-nw-do-you-have-power … #Snoqualmie #Seattle #Bellevue #WAsnow,1
0,2012-01-20 04:00:54,Cold! And in need of power!! #gunnabealongnight,1
0,2012-01-20 03:36:04,Kinda mad I am un able to watch jshore tonight because of my lack of power...,1
0,2012-01-20 03:28:51,Made it home. Roads are mostly packed snow. SR-202 has been plowed at least as far a Fall City. Power at PCF is out. http://4sq.com/zJTBS8 ,1
0,2012-01-20 03:15:35,Does anyone have power? #blackout #poweroutage #wa #Seattle #Snoqualmie,1
0,2012-01-20 03:06:40,Power is out at the PO and all of Fall City. Farmhouse Market & Raging River Cafe on backup power. @King5News http://4sq.com/w7q2Zy ,1
0,2012-01-20 03:04:44,"Power is out except right here, got hot #coffee ready to go  @ Caffe Ladro - Issaquah http://instagr.am/p/iuxD5/ ",1
0,2012-01-20 00:55:23,Might be without power for 3 days! #what,1
0,2012-01-20 00:32:55,"Shut down by ice storm, Valley power may not come back for days http://bit.ly/zbFLq2  via http://outside.in/98065 ",1
1,2012-01-19 23:27:24,Power out for two day cause of this snow!,1
1,2012-01-19 20:25:06,When I'd the power outage over!?!?!?!,1
1,2012-01-19 20:05:34,OK that is the third time the power has gone out :/,1
1,2012-01-19 19:51:24,Heating up the house as much as possible before power goes out again lol,1
1,2012-01-19 19:40:52,ONE OF THE NINETY THOUSAND WITH OUT POWER HAHA  = ),1
1,2012-01-19 19:11:22,@PaulDeannoKOMO the weight broke some of those branches off and now we just lost power here in Sumner http://twitpic.com/897wzm ,1
1,2012-01-19 18:52:03,Power just went off what the hell,1
1,2012-01-19 18:33:07,@MyTPU any ETA on power in the graham area,1
1,2012-01-19 18:32:14,"No power, no phones, no computers and no customers but we're making the best of it! #wasnow #waice #babyneedsnewshoespic.twitter.com/QNolcYBo",1
1,2012-01-19 18:29:39,Seems like everyone without power has the same idea... Go out to eat!,1
1,2012-01-19 18:20:49,So who else doesn't have power? Once I can get outa my driveway I need to know where to head for wifi/coffee. #firstworldproblems #kevinhash,1
1,2012-01-19 18:02:49,Then weather bug sends a notice to my phone for an ice storm.. No shit genius! Ur wasting my power!,1
1,2012-01-19 18:01:42,Since snow-pocalypse has hit the Seattle area our power is gone and my phone is dyin! Fuck u mother nature!,1
1,2012-01-19 17:55:58,"No school, but no power.  Now I can't do my homework I planned for today #awesome",1
1,2012-01-19 17:49:30,No power and iced in...no prob. Breakfast is served. #snowpacalypse SNOWPOCALYPSE!pic.twitter.com/ROp5aFC,1
1,2012-01-19 16:02:20,Power went out at 7:15am pacific I sure hope its back on b4 my phone and netbook run out of battery power! But no coffee darn!,1
1,2012-01-19 15:27:37,Dang it! The power just went out...,1
1,2012-01-19 04:43:11,"Power outage...
#wherearethecandles?",1
1,2012-01-19 02:38:09,Is everybodys power out or what?!,1
1,2012-01-19 02:26:36,All the snow here in WA has finally made our power go out... It's an adventure for the rest of the night... Candles R Us! Ha!,1
1,2012-01-20 23:04:35,"Puget Sound Energy working to restor power to more than 15,000 in Bonney Lake and Sumner - http://bit.ly/xvDCzU  #Sumner #Washington",1
1,2012-01-20 22:44:00,Storm knocks out power in WA capital campus http://bit.ly/xMoSfP  via http://outside.in/98390 ,1
1,2012-01-20 20:32:49,UPDATED: Power remains out in the region http://bit.ly/yqEt1C  via http://outside.in/98360 ,1
1,2012-01-20 18:33:03,UPDATED: Power remains out in the region http://bit.ly/zPyyne  via http://outside.in/98390 ,1
1,2012-01-20 18:33:03,UPDATED: Power remains out in the region http://bit.ly/zbL4pq  via http://outside.in/98374 ,1
1,2012-01-20 18:33:03,UPDATED: Power remains out in the region http://bit.ly/yoteus  via http://outside.in/98372 ,1
1,2012-01-20 17:23:43,Day two of no power #FML,1
1,2012-01-20 14:58:53,@KP4MAYOR do you watch the news or read my fb!?Ive been out of power and electricity w/over a 1/4 of a million ppl!haven't been able to text,1
1,2012-01-20 09:12:15,@mollywhopp lol do you have power up north??,1
1,2012-01-20 06:17:41,POWER (: #yesplease ,1
1,2012-01-20 05:46:32,No power = no wifi.  #4G,1
1,2012-01-20 05:39:28,"Not to taunt the weather, warm at home with power...  :-) (@ Midnight's Cathouse) http://4sq.com/y9HIgd ",1
1,2012-01-20 05:22:34,"I am singing the no power blues!
#PowerOutage",1
1,2012-01-20 03:32:04,how can I send u a video of a down power line on fire this afternoon.,1
1,2012-01-20 03:29:45,"@kirotvsouth 
Down power line on fire in the snow http://twitpic.com/89ctsw ",1
1,2012-01-20 02:31:56,"Puget Sound Energy working to restor power to more than 15,000 in Bonney Lake and Sumner http://bit.ly/w64Kwp  via http://outside.in/98372 ",1
1,2012-01-20 02:31:56,"Puget Sound Energy working to restor power to more than 15,000 in Bonney Lake and Sumner http://bit.ly/xjmFjt  via http://outside.in/98390 ",1
1,2012-01-20 01:35:58,@ElmhurstMutual any updates on how long until power is restored at 144th & 50th?,1
