Month,Year,Event Date and Time,Restoration Date and Time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected
1.0,2012,01/09/2012  1:36 PM,01/11/2012  1:05 AM,"35 Hours, 29 Minutes",The Dow Chemical Company,SERC,Louisiana,Load Shed,150,1
1.0,2012,01/10/2012  9:30 PM,01/10/2012  9:30 PM,"0 Hours,  0 Minutes",Luminant Energy Company LLC,TRE,"Rusk County, Texas",Load Shed,,
1.0,2012,01/19/2012  7:00 AM,01/20/2012  3:00 PM,"32 Hours,  0 Minutes",Puget Sound Energy,WECC,"King, Pierce and Thurston Counties, Washington",Severe Weather - Winter Storm,1600,426000
2.0,2012,02/19/2012  5:00 PM,02/21/2012  7:33 AM,"38 Hours, 33 Minutes",American Electric Power,SERC,"Kentucky, Virginia, West Virginia",Severe Weather - Winter Storm,UNK,90000
2.0,2012,02/28/2012  2:59 AM,02/28/2012  6:12 AM,"3 Hours, 13 Minutes",Pacific Gas and Electric,WECC,"Sacramento, California",Electrical System Separation (Islanding),1,1
3.0,2012,03/02/2012 12:37 PM,03/05/2012 12:01 PM,"71 Hours, 24 Minutes",Tennessee Valley Authority (TVA),SERC,Northern Alabama; Southeast Tennessee,Severe Weather - Tornadoes,500,UNK
3.0,2012,03/02/2012  1:45 PM,03/02/2012  3:30 PM,"1 Hours, 45 Minutes","City of Piggott, Arkansas",SERC,"Piggott, Arkansas",Operational Failure/Equipment Malfunction,,
3.0,2012,03/02/2012  9:00 PM,03/04/2012  5:30 PM,"44 Hours, 30 Minutes",Consumers Energy,RFC,"Lower Peninsula, Michigan",Severe Weather - Winter Storm,50,140000
3.0,2012,03/02/2012  9:00 PM,03/05/2012  4:30 PM,"67 Hours, 30 Minutes","Detroit Edison, Subsidiary of DTE Energy",RFC,"Southeastern, Michigan",Severe Weather - Winter Storm,371,130000
3.0,2012,03/20/2012  8:00 AM,03/20/2012  1:00 PM,"5 Hours,  0 Minutes",CenterPoint Energy,TRE,"Houston, Texas",Severe Weather - Thunderstorms,,96000
3.0,2012,03/29/2012 12:01 PM,03/29/2012 12:02 PM,"0 Hours,  1 Minutes",Lansing Board of Water & Light,RFC,"Lansing, Michigan",Electrical System Separation (Islanding),UNK,0
4.0,2012,04/16/2012  3:46 PM,04/19/2012  2:00 AM,"58 Hours, 14 Minutes","Detroit Edison, Subsidiary of DTE Energy",RFC,"Southeast, Michigan",Severe Weather - High Winds,218,111393
4.0,2012,04/20/2012  2:27 PM,04/21/2012  4:27 AM,"14 Hours,  0 Minutes",CenterPoint Energy,TRE,"Metropolitan Houston, Texas",Severe Weather - Thunderstorms,,120377
5.0,2012,05/07/2012  5:45 PM,05/07/2012  6:06 PM,"0 Hours, 21 Minutes",American Electric Power (AEP),RFC,Eastern Ohio,Load Shed/Severe Weather  - Lightning Storm,420,1
5.0,2012,05/29/2012  8:35 PM,05/31/2012 10:00 AM,"37 Hours, 25 Minutes",Oklahoma Gas & Electric,SPP,"Oklahoma City Metro Area, Oklahoma",Severe Weather - Thunderstorms,UNK,112000
6.0,2012,06/08/2012  5:20 PM,06/08/2012  5:25 PM,"0 Hours,  5 Minutes",Public Service Company of Colorado,WECC,"Denver Metro Area, Colorado",Load Shed,120,30379
6.0,2012,06/11/2012  7:50 PM,06/12/2012  3:00 PM,"19 Hours, 10 Minutes",Southern Company,SERC,North/Central Alabama; North/Central Georgia,Severe Weather - Thunderstorms,368,110591
6.0,2012,06/12/2012  3:57 PM,06/14/2012  4:57 AM,"37 Hours,  0 Minutes",CenterPoint Energy,TRE,"Houston, Texas",Severe Weather - Thunderstorms,920,175000
6.0,2012,06/19/2012  4:30 AM,06/20/2012 11:00 PM,"42 Hours, 30 Minutes",Xcel Energy,MRO,"Minneapolis/St. Paul, Minnesota",Severe Weather - Thunderstorms,UNK,68200
6.0,2012,06/19/2012  5:30 AM,06/21/2012  5:30 AM,"48 Hours,  0 Minutes",California Department of Water Resources,WECC,CAISO Territory California,Fuel Supply Deficiency (Water),UNK,UNK
6.0,2012,06/23/2012  6:57 PM,06/23/2012  7:28 PM,"0 Hours, 31 Minutes",ISO New England,NPCC,"North Shore, Massachusetts",Load Shed,51,29250
6.0,2012,06/25/2012  4:04 PM,06/26/2012  1:45 PM,"21 Hours, 41 Minutes",Dominion,SERC,Central Virginia,Severe Weather - Wind & Rain,600,190000
